Date,Return
11/29/13,-0.07897983307068836
11/27/13,-0.07592007652373182
11/26/13,-0.08000546667690783
11/25/13,-0.09085333057809183
11/22/13,-0.10305731124340455
11/21/13,-0.10116239241051565
11/20/13,-0.11138443818912497
11/19/13,-0.10887237952060576
11/18/13,-0.10335286025043924
11/15/13,-0.10160566197542992
11/14/13,-0.10015411711836714
11/13/13,-0.10255312139187447
11/12/13,-0.12053734407478923
11/11/13,-0.12157171165377281
11/08/13,-0.11684314506395105
11/07/13,-0.12386650165612595
11/06/13,-0.111001982759733
11/05/13,-0.11207112265267787
11/04/13,-0.10808137463480498
11/01/13,-0.10727300969475156
10/31/13,-0.10419594703917999
10/30/13,-0.10433504151557092
10/29/13,-0.09927620407002723
10/28/13,-0.11773847037199951
10/25/13,-0.11756460184146543
